delay_fs,position_mm,X_A,Y_A,R_A,theta_A
-1500.000,185.70530,1.31121869e-04,-2.55218754e-06,1.33680962e-04,1.4095
-1470.149,185.70980,1.40406917e-04,1.52945131e-06,1.34811809e-04,1.3508
-1440.299,185.71430,1.06812095e-04,2.25906655e-05,1.22542539e-04,7.2045
-1410.448,185.71875,1.11224492e-04,2.90098065e-05,1.14799672e-04,8.3387
-1380.597,185.72325,1.28819929e-04,3.00311458e-05,1.20399971e-04,9.2109
-1350.746,185.72765,1.28360782e-04,8.00331793e-06,1.23682945e-04,5.3125
-1320.896,185.73220,1.07948819e-04,2.18474310e-06,1.18475667e-04,-1.3156
-1291.045,185.73665,1.13584892e-04,-5.04392909e-06,1.09327373e-04,-2.6694
-1261.194,185.74115,1.03992861e-04,2.98850191e-05,1.24304730e-04,16.7894
-1231.343,185.74565,1.04945617e-04,3.52237757e-05,1.15944033e-04,12.8929
-1201.493,185.75015,6.70623722e-05,1.62677509e-05,8.94140785e-05,13.3185
-1171.642,185.75460,2.51118541e-04,3.86087031e-05,2.63292844e-04,6.9681
-1141.791,185.75905,1.18570510e-04,1.52130524e-05,1.06498862e-04,5.7616
-1111.940,185.76355,6.20210294e-05,1.54363486e-05,8.08854902e-05,17.3990
-1082.090,185.76800,6.85042018e-04,4.97082938e-05,6.05121168e-04,3.5915
-1052.239,185.77250,7.45371231e-04,4.49745003e-05,7.69933627e-04,3.9322
-1022.388,185.77695,3.92825104e-05,3.56380087e-06,5.03613292e-05,-29.4959
-992.537,185.78145,8.35273495e-05,8.48135608e-06,7.64404849e-05,5.5297
-962.687,185.78590,2.99749896e-04,1.64685994e-05,3.04681911e-04,3.0695
-932.836,185.79040,1.36734325e-04,1.10181697e-05,1.39794916e-04,7.9220
-902.985,185.79485,9.29354192e-05,4.95105473e-06,9.12630458e-05,5.3974
-873.134,185.79930,1.21164612e-04,3.14802910e-05,1.26400228e-04,10.8512
-843.284,185.80380,1.32958423e-04,6.24529874e-06,1.35411727e-04,2.2019
-813.433,185.80830,1.09840776e-04,1.75835939e-05,1.22700963e-04,5.1314
-783.582,185.81275,1.22824447e-04,-1.49783579e-05,1.26549960e-04,-3.7108
-753.731,185.81725,1.04884744e-04,1.71375247e-05,1.19065655e-04,7.2239
-723.881,185.82170,1.29125352e-04,1.49632410e-05,1.39371163e-04,8.0673
-694.030,185.82620,1.45457867e-04,1.55586945e-05,1.56172682e-04,7.0797
-664.179,185.83065,1.46303964e-04,1.43723224e-05,1.49907621e-04,4.7512
-634.328,185.83515,1.31414667e-04,-5.77749915e-06,1.33981794e-04,0.9312
-604.478,185.83960,1.17415575e-04,2.32555522e-05,1.27563435e-04,13.4772
-574.627,185.84410,1.31380792e-04,1.29516865e-05,1.29879441e-04,3.9097
-544.776,185.84855,1.03126635e-04,2.78089037e-05,1.16906573e-04,7.2004
-514.925,185.85305,1.16107311e-04,1.29789738e-05,1.03380602e-04,4.9422
-485.075,185.85750,1.36818267e-04,8.09238008e-06,1.36603139e-04,5.0796
-455.224,185.86200,1.34546050e-04,2.91329559e-06,1.38420843e-04,7.6231
-425.373,185.86645,1.24380304e-04,1.11947920e-05,1.21085764e-04,4.7662
-395.522,185.87095,1.28118298e-04,4.45073920e-06,1.26587540e-04,4.1505
-365.672,185.87540,1.17099866e-04,1.85778497e-05,1.19074293e-04,11.0587
-335.821,185.87990,1.20872910e-04,9.24637061e-06,1.18390539e-04,0.5364
-305.970,185.88435,1.35658094e-04,1.93104564e-05,1.53348996e-04,8.4115
-276.119,185.88885,1.52391483e-04,1.76952358e-06,1.45961731e-04,-0.2644
-246.269,185.89330,1.22593825e-04,1.85808581e-05,1.27945332e-04,7.7163
-216.418,185.89780,1.40016287e-04,2.85542107e-06,1.39129195e-04,2.9120
-186.567,185.90225,1.30675260e-04,2.28659623e-05,1.40649056e-04,8.4599
-156.716,185.90675,1.34149508e-04,9.84752660e-07,1.48294279e-04,1.6544
-126.866,185.91120,1.27986405e-04,1.06984544e-06,1.35541053e-04,7.9346
-97.015,185.91570,1.44402282e-04,4.97684834e-06,1.33812016e-04,2.7167
-67.164,185.92015,1.65449062e-04,5.18538479e-06,1.58213803e-04,1.3672
-37.313,185.92465,1.44891848e-04,1.69873133e-05,1.43791887e-04,5.7132
-7.463,185.92910,1.42654559e-04,2.25057231e-05,1.40029279e-04,8.4946
22.388,185.93360,1.33648429e-04,1.87964244e-05,1.29940672e-04,10.7290
52.239,185.93805,1.29415503e-04,2.21397395e-05,1.31600969e-04,11.0300
82.090,185.94255,1.56169241e-04,1.58986461e-05,1.51751829e-04,9.0123
111.940,185.94700,1.51524077e-04,1.35515957e-05,1.67371927e-04,4.1266
141.791,185.95150,1.38596588e-04,3.21226230e-06,1.41347740e-04,0.8482
171.642,185.95595,1.58387331e-04,1.33601807e-05,1.46459704e-04,6.8769
201.493,185.96045,9.99576059e-05,3.05557860e-05,1.07740974e-04,14.0196
231.343,185.96490,1.47503204e-04,2.98239743e-05,1.52197754e-04,13.3392
261.194,185.96940,1.19973545e-04,1.52462644e-05,1.26630022e-04,6.4709
291.045,185.97385,1.25602208e-04,-1.94738747e-05,1.24573384e-04,-3.9798
320.896,185.97835,1.31468831e-04,-2.62820186e-06,1.16947074e-04,3.7595
350.746,185.98280,1.47360657e-04,2.72871689e-05,1.39513621e-04,8.7939
380.597,185.98730,1.33869140e-04,5.72905797e-05,1.35435283e-04,14.3124
410.448,185.99175,1.43197667e-04,4.72108934e-06,1.38008894e-04,5.5552
440.299,185.99620,1.16922449e-04,-2.25697715e-06,1.22056015e-04,-1.2555
470.149,186.00070,1.22549485e-04,-9.29548992e-06,1.24319966e-04,1.6907
500.000,186.00515,1.35866900e-04,8.36425647e-06,1.37062740e-04,6.4171
