wavelength_nm,R
1.999999999999999545e+03,9.992335229789919282e-01
1.994176372712146076e+03,9.993439980153346891e-01
1.988386561592699536e+03,9.985279787521327277e-01
1.982630272952852920e+03,9.974628986343784254e-01
1.976907216494845215e+03,9.962611289079656984e-01
1.971217105263157464e+03,9.951326163086612331e-01
1.965559655596555558e+03,9.940821943215988332e-01
1.959934587080947949e+03,9.931125965596206973e-01
1.954341622503056897e+03,9.924520171926535239e-01
1.948780487804877339e+03,9.921070830288852838e-01
1.943250912038913384e+03,9.919904641388236355e-01
1.937752627324171044e+03,9.920027401739163198e-01
1.932285368802901530e+03,9.919775920948277204e-01
1.926848874598070324e+03,9.917878209391942645e-01
1.921442885771542706e+03,9.912132069251431421e-01
1.916067146282972999e+03,9.900163283519325397e-01
1.910721402949382082e+03,9.879109773788108395e-01
1.905405405405404963e+03,9.844936888245049422e-01
1.900118906064208886e+03,9.791136053907107950e-01
1.894861660079050807e+03,9.705762110109642515e-01
1.889633425305478340e+03,9.565958014463957770e-01
1.884433962264150296e+03,9.323050435208621867e-01
1.879263034104272720e+03,8.854443273339842602e-01
1.874120406567630653e+03,7.837268211380512550e-01
1.869005847953215834e+03,5.441888908838610206e-01
1.863919129082425798e+03,1.466001742461950363e-01
1.858860023264830943e+03,2.108464487481635785e-01
1.853828306264500725e+03,5.406512992048640998e-01
1.848823756266872124e+03,7.230958216728222698e-01
1.843846153846153356e+03,8.118966640734466278e-01
1.838895281933256229e+03,8.588050502993936908e-01
1.833970925784238261e+03,8.856312036649722774e-01
1.829072872949255498e+03,9.016922853988967868e-01
1.824200913242008482e+03,9.113271317344457945e-01
1.819354838709676642e+03,9.167198003728691535e-01
1.814534443603330601e+03,9.190224508333690867e-01
1.809739524348810619e+03,9.188371197622426934e-01
1.804969879518072048e+03,9.164236927116138354e-01
1.800225309800975992e+03,9.119413471103445801e-01
1.795505617977527436e+03,9.051638538111804744e-01
1.790810608890548792e+03,8.958384152890075391e-01
1.786140089418777507e+03,8.834600840994009108e-01
1.781493868450389755e+03,8.672684438099419468e-01
1.776871756856930460e+03,8.461927204693061588e-01
1.772273567467651901e+03,8.187706313124150093e-01
1.767699115044247264e+03,7.830750417036930200e-01
1.763148216255975967e+03,7.366870609541060766e-01
1.758620689655172100e+03,6.768270476972497729e-01
1.754116355653128039e+03,6.008409828184807511e-01
1.749635036496350040e+03,5.073317551740014197e-01
1.745176556243173991e+03,3.981545975880376731e-01
1.740740740740740193e+03,2.807401715293684763e-01
1.736327417602317382e+03,1.688066473165034109e-01
1.731936416184970767e+03,7.880481520109136606e-02
1.727567567567567266e+03,2.253940616363727181e-02
1.723220704529115437e+03,1.515332525098066034e-03
1.718895661527428729e+03,7.930064417684795294e-03
1.714592274678111153e+03,3.022610135460763320e-02
1.710310381733856048e+03,5.809212038972517977e-02
1.706049822064056798e+03,8.441138551263992207e-02
1.701810436634717462e+03,1.051282481439097527e-01
1.697592067988668305e+03,1.183649595286710571e-01
1.693394560226068052e+03,1.235829893353434100e-01
1.689217758985200362e+03,1.210822593337842756e-01
1.685061511423549746e+03,1.116805702885329404e-01
1.680925666199158286e+03,9.664476867662934179e-02
1.676810073452255665e+03,7.765538322810661143e-02
1.672714584787159311e+03,5.677351165017811840e-02
1.668639053254437613e+03,3.636421575810760282e-02
1.664583333333332803e+03,1.884546441968150757e-02
1.660547280914443490e+03,6.386772349405202449e-03
1.656530753282653222e+03,5.366813625254431572e-04
1.652533609100310059e+03,1.955636350675467143e-03
1.648555708390646032e+03,1.032254646032496059e-02
1.644596912521440345e+03,2.450114136900041761e-02
1.640657084188911313e+03,4.286585147170127869e-02
1.636736087401843179e+03,6.367130636814280487e-02
1.632833787465939849e+03,8.537772945970799332e-02
1.628950050968399410e+03,1.068488102663875394e-01
1.625084745762711464e+03,1.274363452630892790e-01
1.621237740953668890e+03,1.469765932144034559e-01
1.617408906882590827e+03,1.657195876515591970e-01
1.613598115112755977e+03,1.842268188360872971e-01
1.609805238415043277e+03,2.032324686856585017e-01
1.606030150753768567e+03,2.234820367799767171e-01
1.602272727272726797e+03,2.455549094430252433e-01
1.598532844281426833e+03,2.697164546981742905e-01
1.594810379241516557e+03,2.958277515580385320e-01
1.591105210753401479e+03,3.233425986895778204e-01
1.587417218543046147e+03,3.513984483209694476e-01
1.583746283448959048e+03,3.789325766799533923e-01
1.580092287409360324e+03,4.048515133466421001e-01
1.576455113449522742e+03,4.281731327619233141e-01
1.572834645669290921e+03,4.480068283154517439e-01
1.569230769230768828e+03,4.636634246721051955e-01
1.565643370346178472e+03,4.745757329428169080e-01
1.562072336265884132e+03,4.802523280946209283e-01
1.558517555266579848e+03,4.802268175924524485e-01
1.554978916639636282e+03,4.740172134516255076e-01
1.551456310679611306e+03,4.610519468143411403e-01
1.547949628672908830e+03,4.407000590931959838e-01
1.544458762886597469e+03,4.123120263395868013e-01
1.540983606557376788e+03,3.752707070391604893e-01
1.537524053880692463e+03,3.293109587282645467e-01
1.534079999999999700e+03,2.748523297482947658e-01
1.530651340996168074e+03,2.137133480718559353e-01
1.527237973877030527e+03,1.498606509825088640e-01
1.523839796567069016e+03,8.988686341026620730e-02
1.520456707897240221e+03,4.258880762469155479e-02
1.517088607594936320e+03,1.682672211088273237e-02
1.513735396274076038e+03,1.816616179308164214e-02
1.510396975425330311e+03,4.623074838211643778e-02
1.507073247406475730e+03,9.487235802096058435e-02
1.503764115432872813e+03,1.550113703181600910e-01
1.500469483568075020e+03,2.179520659201288624e-01
1.497189256714553039e+03,2.773143686728844481e-01
1.493923340604549367e+03,3.293463457657547777e-01
1.490671641791044294e+03,3.723412886367828967e-01
1.487434067638845363e+03,4.058618120121445516e-01
1.484210526315788911e+03,4.301125018607516726e-01
1.481000926784058947e+03,4.455338787744184126e-01
1.477805178791614935e+03,4.525771885185716492e-01
1.474623192863733948e+03,4.515999390542326797e-01
1.471454880294659006e+03,4.428440776577554638e-01
1.468300153139356553e+03,4.264604690611739635e-01
1.465158924205378526e+03,4.025949701562824279e-01
1.462031107044830378e+03,3.715166937840175265e-01
1.458916615946439379e+03,3.338010055193002534e-01
1.455815365927724997e+03,2.905552516226430626e-01
1.452727272727272521e+03,2.436377203072416786e-01
1.449652252797096708e+03,1.957695161157906316e-01
1.446590223295111400e+03,1.503916743459798033e-01
1.443541102077686901e+03,1.111693107873676784e-01
1.440504807692307168e+03,8.120206775184314607e-02
1.437481259370314547e+03,6.219416530522511866e-02
1.434470377019748184e+03,5.399975152239607640e-02
1.431472081218273843e+03,5.476373930956403291e-02
1.428486293206197388e+03,6.153709141095550089e-02
1.425512934879571503e+03,7.105837172666613910e-02
1.422551928783382436e+03,8.037689097160014007e-02
1.419603198104826561e+03,8.720234170572982446e-02
1.416666666666666288e+03,9.001710972754838058e-02
1.413742258920672157e+03,8.806061024244436763e-02
1.410829899941141548e+03,8.126438102947435016e-02
1.407929515418501978e+03,7.021213141266235969e-02
1.405041031652989204e+03,5.609502362774741735e-02
1.402164375548405587e+03,4.064942916881732898e-02
1.399299474605954174e+03,2.601481971438209320e-02
1.396446256918147128e+03,1.446639684249434801e-02
1.393604651162790333e+03,8.023767105881176448e-03
1.390774586597040525e+03,8.015959436914002825e-03
1.387955993051534278e+03,1.474888673653452012e-02
1.385148800924587931e+03,2.741401513667028611e-02
1.382352941176470267e+03,4.427975523039438116e-02
1.379568345323740687e+03,6.307978731782576398e-02
1.376794945433658540e+03,8.144358943149965224e-02
