wavelength,n,k
300,3.60311765,0.98230426
302,3.58588385,0.979032124
304,3.57071185,0.974909594
306,3.55732531,0.970016801
308,3.54548951,0.964424778
310,3.53500383,0.958196757
312,3.52569587,0.951389256
314,3.51741671,0.944052982
316,3.51003715,0.936233602
318,3.50344455,0.927972386
320,3.49754036,0.91930676
322,3.492238,0.910270777
324,3.48746116,0.900895516
326,3.48314237,0.891209432
328,3.47922177,0.881238656
330,3.47564613,0.871007251
332,3.47236796,0.860537442
334,3.46934483,0.849849807
336,3.46653872,0.838963456
338,3.4639155,0.827896175
340,3.46144447,0.816664564
342,3.45909798,0.805284151
344,3.45685108,0.793769498
346,3.45468123,0.782134289
348,3.45256803,0.770391414
350,3.45049304,0.758553043
352,3.44843951,0.746630685
354,3.44639228,0.734635251
356,3.4443376,0.722577103
358,3.44226298,0.710466101
360,3.44015709,0.698311642
362,3.43800967,0.686122702
364,3.4358114,0.673907861
366,3.43355386,0.661675344
368,3.43122941,0.649433038
370,3.42883116,0.637188522
372,3.4263529,0.624949084
374,3.42378906,0.612721748
376,3.42113461,0.600513284
378,3.4183851,0.588330228
380,3.41553656,0.576178893
382,3.41258547,0.564065388
384,3.40952877,0.551995622
386,3.40636378,0.539975319
388,3.40308819,0.528010025
390,3.39970008,0.516105118
392,3.39619783,0.504265813
394,3.39258013,0.492497171
396,3.38884598,0.480804102
398,3.38499464,0.469191372
400,3.38102565,0.457663605
402,3.37693878,0.446225292
404,3.37273404,0.434880787
406,3.36841164,0.423634316
408,3.36397203,0.412489976
410,3.35941583,0.40145174
412,3.35474385,0.390523453
414,3.34995709,0.379708842
416,3.3450567,0.369011509
418,3.34004399,0.358434936
420,3.33492041,0.347982487
422,3.32968757,0.337657405
424,3.32434718,0.327462814
426,3.31890108,0.317401719
428,3.31335123,0.307477009
430,3.30769968,0.297691451
432,3.30194857,0.288047696
434,3.29610013,0.278548275
436,3.29015666,0.269195602
438,3.28412052,0.259991972
440,3.27799411,0.250939562
442,3.27177989,0.242040428
444,3.26548032,0.23329651
446,3.25909788,0.22470963
448,3.25263503,0.216281491
450,3.24609421,0.208013677
452,3.23947778,0.199907657
454,3.23278802,0.191964784
456,3.22602707,0.184186293
458,3.2191969,0.176573308
460,3.2122992,0.16912684
462,3.2053353,0.16184779
464,3.19830606,0.154736955
466,3.19121156,0.147795034
468,3.18405083,0.141022636
470,3.17682114,0.134420302
472,3.16951671,0.127988543
474,3.1621253,0.121727942
476,3.15461212,0.115640044
478,3.14692675,0.109832179
