wavelength_nm,n,k
300.0,1.49363048,0.0
310.0,1.49092698,0.0
320.0,1.4885056,0.0
330.0,1.486327,0.0
340.0,1.48435868,0.0
350.0,1.4825724,0.0
360.0,1.48094654,0.0
370.0,1.47946124,0.0
380.0,1.47809908,0.0
390.0,1.47684752,0.0
400.0,1.47569394,0.0
410.0,1.47462819,0.0
420.0,1.47363941,0.0
430.0,1.4727212,0.0
440.0,1.47186659,0.0
450.0,1.47106912,0.0
460.0,1.47032359,0.0
470.0,1.46962466,0.0
480.0,1.46896881,0.0
490.0,1.46835217,0.0
500.0,1.46777105,0.0
510.0,1.46722239,0.0
520.0,1.46670389,0.0
530.0,1.46621191,0.0
540.0,1.46574648,0.0
550.0,1.46530383,0.0
560.0,1.46488269,0.0
570.0,1.46448159,0.0
580.0,1.464099,0.0
590.0,1.46373321,0.0
600.0,1.46338311,0.0
610.0,1.46304845,0.0
620.0,1.46272695,0.0
630.0,1.46241813,0.0
640.0,1.46212107,0.0
650.0,1.46183512,0.0
660.0,1.46155952,0.0
670.0,1.46129407,0.0
680.0,1.46103729,0.0
690.0,1.46078887,0.0
700.0,1.46054748,0.0
710.0,1.4603144,0.0
720.0,1.46008874,0.0
730.0,1.45986828,0.0
740.0,1.45965491,0.0
750.0,1.45944715,0.0
760.0,1.45924472,0.0
770.0,1.45904667,0.0
780.0,1.45885362,0.0
790.0,1.45866544,0.0
800.0,1.45848203,0.0
810.0,1.45830122,0.0
820.0,1.45812498,0.0
830.0,1.45795192,0.0
840.0,1.45778258,0.0
850.0,1.45761582,0.0
860.0,1.45745219,0.0
870.0,1.45729146,0.0
880.0,1.45713306,0.0
890.0,1.45697707,0.0
900.0,1.45682315,0.0
910.0,1.45667179,0.0
920.0,1.45652219,0.0
930.0,1.45637517,0.0
940.0,1.45622924,0.0
950.0,1.45608492,0.0
960.0,1.4559426,0.0
970.0,1.45580147,0.0
980.0,1.45566198,0.0
990.0,1.45552366,0.0
1000.0,1.45538604,0.0
1010.0,1.45525066,0.0
1020.0,1.45511543,0.0
1030.0,1.45498146,0.0
1040.0,1.45484866,0.0
1050.0,1.45471622,0.0
1060.0,1.45458476,0.0
1070.0,1.45445455,0.0
1080.0,1.45432457,0.0
1090.0,1.45419557,0.0
1100.0,1.45406682,0.0
1110.0,1.45393832,0.0
1120.0,1.4538104,0.0
1130.0,1.45368343,0.0
1140.0,1.45355669,0.0
1150.0,1.45342966,0.0
1160.0,1.45330384,0.0
1170.0,1.45317759,0.0
1180.0,1.45305197,0.0
1190.0,1.45292688,0.0
1200.0,1.45280162,0.0
1210.0,1.45267628,0.0
1220.0,1.45255126,0.0
1230.0,1.45242665,0.0
1240.0,1.45230198,0.0
1250.0,1.45217663,0.0
1260.0,1.45205198,0.0
1270.0,1.45192732,0.0
1280.0,1.45180244,0.0
1290.0,1.45167783,0.0
1300.0,1.4515528,0.0
1310.0,1.45142761,0.0
1320.0,1.45130234,0.0
1330.0,1.45117686,0.0
1340.0,1.4510513,0.0
1350.0,1.45092571,0.0
1360.0,1.45080015,0.0
1370.0,1.45067411,0.0
1380.0,1.45054781,0.0
1390.0,1.45042122,0.0
1400.0,1.45029439,0.0
1410.0,1.45016742,0.0
1420.0,1.45004023,0.0
1430.0,1.44991272,0.0
1440.0,1.44978483,0.0
1450.0,1.44965641,0.0
1460.0,1.44952783,0.0
1470.0,1.44939885,0.0
1480.0,1.44926952,0.0
1490.0,1.44913962,0.0
1500.0,1.4490093,0.0
1510.0,1.4488787,0.0
1520.0,1.44874802,0.0
1530.0,1.44861731,0.0
1540.0,1.44848524,0.0
1550.0,1.44835305,0.0
1560.0,1.44822054,0.0
1570.0,1.44808798,0.0
1580.0,1.44795428,0.0
1590.0,1.44782055,0.0
1600.0,1.4476859,0.0
1610.0,1.44755125,0.0
1620.0,1.44741538,0.0
1630.0,1.44727946,0.0
1640.0,1.44714305,0.0
1650.0,1.44700655,0.0
1660.0,1.44686913,0.0
1670.0,1.44673126,0.0
1680.0,1.44659291,0.0
1690.0,1.44645394,0.0
1700.0,1.44631478,0.0
1710.0,1.44617446,0.0
1720.0,1.44603414,0.0
1730.0,1.44589299,0.0
1740.0,1.4457516,0.0
1750.0,1.44560961,0.0
1760.0,1.44546651,0.0
1770.0,1.44532341,0.0
1780.0,1.4451803,0.0
1790.0,1.4450372,0.0
1800.0,1.4448941,0.0
1810.0,1.444751,0.0
1820.0,1.4446079,0.0
1830.0,1.4444648,0.0
1840.0,1.4443217,0.0
1850.0,1.4441786,0.0
1860.0,1.44403549,0.0
1870.0,1.44389239,0.0
1880.0,1.44374929,0.0
1890.0,1.44360619,0.0
1900.0,1.44346309,0.0
1910.0,1.44331999,0.0
1920.0,1.44317689,0.0
1930.0,1.44303379,0.0
1940.0,1.44289069,0.0
1950.0,1.44274758,0.0
1960.0,1.44260448,0.0
1970.0,1.44246138,0.0
1980.0,1.44231828,0.0
1990.0,1.44217518,0.0
2000.0,1.44203208,0.0
